source,target
0,94
0,17
0,49
0,29
0,62
0,90
0,55
0,19
0,22
0,38
0,93
0,98
0,74
1,94
1,17
1,49
1,29
1,62
1,16
1,45
1,6
1,13
2,94
2,17
3,94
3,62
4,94
4,17
4,81
4,21
4,24
5,94
5,17
6,94
6,17
6,49
6,29
6,62
6,78
6,81
6,28
6,79
7,94
8,94
8,17
8,81
8,58
9,94
9,17
9,90
9,10
10,94
10,17
10,49
10,29
10,62
10,90
10,55
10,78
10,81
10,95
10,28
10,16
10,19
10,22
10,80
10,88
10,42
10,87
10,38
10,50
10,76
10,58
10,34
10,41
11,94
11,17
11,49
11,62
11,28
12,94
12,49
13,94
13,17
13,49
13,29
13,62
13,90
13,78
13,95
13,28
13,16
13,22
14,94
14,17
14,28
14,16
15,94
15,62
16,94
16,17
16,49
16,29
16,62
16,90
16,55
16,78
16,81
16,95
16,28
16,19
16,22
16,80
16,88
16,77
16,42
16,69
16,52
17,94
17,49
17,29
17,62
17,90
17,55
17,78
17,81
17,95
17,28
17,19
17,22
17,80
17,88
17,77
17,45
17,42
17,31
17,87
17,79
17,38
17,60
17,86
17,18
17,33
17,50
17,96
17,76
17,21
17,36
17,58
17,84
17,23
17,39
17,93
17,73
17,98
17,72
17,27
17,63
17,66
17,89
17,64
17,91
17,68
17,47
17,57
17,34
17,59
17,82
17,61
17,54
17,41
17,99
17,30
17,74
17,24
17,92
17,65
17,26
17,83
17,44
17,69
17,85
17,43
17,46
17,70
17,56
17,97
17,52
17,35
18,94
18,49
18,29
18,62
18,78
18,81
18,33
18,84
18,47
19,94
19,49
19,29
19,62
19,90
19,55
19,78
19,81
19,95
19,28
19,22
19,80
19,77
19,31
19,79
19,76
19,36
19,93
19,43
20,94
21,94
21,49
21,29
21,62
21,90
21,28
22,94
22,49
22,29
22,62
22,90
22,55
22,78
22,81
22,95
22,28
22,45
22,79
22,38
22,86
22,33
22,96
22,76
22,36
22,63
23,94
23,29
23,62
24,94
25,94
26,94
26,62
27,94
27,49
27,29
27,55
27,80
27,41
28,94
28,49
28,29
28,62
28,90
28,55
28,78
28,81
28,95
28,80
28,88
28,77
28,42
28,31
28,87
28,38
28,50
28,76
28,72
28,46
29,94
29,49
29,62
29,90
29,55
29,78
29,81
29,95
29,80
29,88
29,77
29,45
29,42
29,31
29,87
29,79
29,38
29,60
29,86
29,33
29,50
29,96
29,76
29,84
29,73
29,72
29,91
29,47
29,57
29,41
29,74
29,51
29,43
29,56
30,94
31,94
31,49
31,62
31,90
31,55
31,95
31,88
32,94
32,90
33,94
33,49
33,62
33,80
33,79
34,94
34,90
35,94
36,94
36,49
36,62
36,50
37,94
38,94
38,49
38,62
38,90
38,78
38,95
38,45
39,94
39,49
39,55
39,78
40,94
41,94
41,88
41,59
42,94
42,49
42,62
42,90
42,55
42,80
42,77
42,93
43,94
44,94
44,62
45,94
45,49
45,62
45,90
45,55
45,78
45,81
45,80
45,88
45,60
45,54
46,94
47,94
47,49
48,94
49,94
49,62
49,90
49,55
49,78
49,81
49,95
49,80
49,88
49,77
49,87
49,79
49,60
49,86
49,50
49,96
49,76
49,58
49,84
49,93
49,73
49,98
49,89
49,91
49,68
49,82
49,61
49,54
50,94
50,62
50,90
50,55
50,78
50,81
50,83
51,94
52,94
53,94
54,94
55,94
55,62
55,90
55,78
55,81
55,95
55,80
55,88
55,77
55,87
55,79
55,60
55,86
55,96
55,73
55,89
55,68
56,94
57,94
57,81
58,94
58,62
58,90
59,94
60,94
60,62
60,78
60,65
61,94
62,94
62,90
62,78
62,81
62,95
62,80
62,88
62,77
62,87
62,79
62,86
62,96
62,76
62,84
62,73
62,98
62,89
62,64
62,91
63,94
63,81
63,95
64,94
65,94
66,94
67,94
68,94
69,94
70,94
71,94
72,94
73,94
73,90
74,94
75,94
76,94
77,94
77,90
77,78
77,81
77,95
77,80
77,88
78,94
78,90
78,81
78,95
78,80
78,88
78,79
78,89
79,94
79,90
80,94
80,90
80,81
80,95
80,86
80,96
81,94
81,90
81,95
81,88
81,87
81,86
81,96
82,94
82,90
83,94
84,94
84,86
85,94
86,94
86,90
87,94
87,90
87,88
88,94
88,90
88,95
89,94
90,94
90,95
90,99
91,94
92,94
93,94
94,95
94,96
94,98
94,99
94,97
95,96
