source,target
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
0,99
0,2
0,98
0,3
0,97
0,4
0,96
0,5
0,95
0,6
0,94
0,7
0,93
0,8
0,92
1,99
1,3
1,98
1,4
1,97
1,5
1,96
1,6
1,95
1,7
1,94
1,8
1,93
1,9
2,4
2,99
2,5
2,98
2,6
2,97
2,7
2,96
2,8
2,95
2,9
2,94
2,10
3,5
3,6
3,99
3,7
3,98
3,8
3,97
3,9
3,96
3,10
3,95
3,11
4,6
4,7
4,8
4,99
4,9
4,98
4,10
4,97
4,11
4,96
4,12
5,7
5,8
5,9
5,10
5,99
5,11
5,98
5,12
5,97
5,13
6,8
6,9
6,10
6,11
6,12
6,99
6,13
6,98
6,14
7,9
7,10
7,11
7,12
7,13
7,14
7,99
7,15
8,10
8,11
8,12
8,13
8,14
8,15
8,16
9,11
9,12
9,13
9,14
9,15
9,16
9,17
10,12
10,13
10,14
10,15
10,16
10,17
10,18
11,13
11,14
11,15
11,16
11,17
11,18
11,19
12,14
12,15
12,16
12,17
12,18
12,19
12,20
13,15
13,16
13,17
13,18
13,19
13,20
13,21
14,16
14,17
14,18
14,19
14,20
14,21
14,22
15,17
15,18
15,19
15,20
15,21
15,22
15,23
16,18
16,19
16,20
16,21
16,22
16,23
16,24
17,19
17,20
17,21
17,22
17,23
17,24
17,25
18,20
18,21
18,22
18,23
18,24
18,25
18,26
19,21
19,22
19,23
19,24
19,25
19,26
19,27
20,22
20,23
20,24
20,25
20,26
20,27
20,28
21,23
21,24
21,25
21,26
21,27
21,28
21,29
22,24
22,25
22,26
22,27
22,28
22,29
22,30
23,25
23,26
23,27
23,28
23,29
23,30
23,31
24,26
24,27
24,28
24,29
24,30
24,31
24,32
25,27
25,28
25,29
25,30
25,31
25,32
25,33
26,28
26,29
26,30
26,31
26,32
26,33
26,34
27,29
27,30
27,31
27,32
27,33
27,34
27,35
28,30
28,31
28,32
28,33
28,34
28,35
28,36
29,31
29,32
29,33
29,34
29,35
29,36
29,37
30,32
30,33
30,34
30,35
30,36
30,37
30,38
31,33
31,34
31,35
31,36
31,37
31,38
31,39
32,34
32,35
32,36
32,37
32,38
32,39
32,40
33,35
33,36
33,37
33,38
33,39
33,40
33,41
34,36
34,37
34,38
34,39
34,40
34,41
34,42
35,37
35,38
35,39
35,40
35,41
35,42
35,43
36,38
36,39
36,40
36,41
36,42
36,43
36,44
37,39
37,40
37,41
37,42
37,43
37,44
37,45
38,40
38,41
38,42
38,43
38,44
38,45
38,46
39,41
39,42
39,43
39,44
39,45
39,46
39,47
40,42
40,43
40,44
40,45
40,46
40,47
40,48
41,43
41,44
41,45
41,46
41,47
41,48
41,49
42,44
42,45
42,46
42,47
42,48
42,49
42,50
43,45
43,46
43,47
43,48
43,49
43,50
43,51
44,46
44,47
44,48
44,49
44,50
44,51
44,52
45,47
45,48
45,49
45,50
45,51
45,52
45,53
46,48
46,49
46,50
46,51
46,52
46,53
46,54
47,49
47,50
47,51
47,52
47,53
47,54
47,55
48,50
48,51
48,52
48,53
48,54
48,55
48,56
49,51
49,52
49,53
49,54
49,55
49,56
49,57
50,52
50,53
50,54
50,55
50,56
50,57
50,58
51,53
51,54
51,55
51,56
51,57
51,58
51,59
52,54
52,55
52,56
52,57
52,58
52,59
52,60
53,55
53,56
53,57
53,58
53,59
53,60
53,61
54,56
54,57
54,58
54,59
54,60
54,61
54,62
55,57
55,58
55,59
55,60
55,61
55,62
55,63
56,58
56,59
56,60
56,61
56,62
56,63
56,64
57,59
57,60
57,61
57,62
57,63
57,64
57,65
58,60
58,61
58,62
58,63
58,64
58,65
58,66
59,61
59,62
59,63
59,64
59,65
59,66
59,67
60,62
60,63
60,64
60,65
60,66
60,67
60,68
61,63
61,64
61,65
61,66
61,67
61,68
61,69
62,64
62,65
62,66
62,67
62,68
62,69
62,70
63,65
63,66
63,67
63,68
63,69
63,70
63,71
64,66
64,67
64,68
64,69
64,70
64,71
64,72
65,67
65,68
65,69
65,70
65,71
65,72
65,73
66,68
66,69
66,70
66,71
66,72
66,73
66,74
67,69
67,70
67,71
67,72
67,73
67,74
67,75
68,70
68,71
68,72
68,73
68,74
68,75
68,76
69,71
69,72
69,73
69,74
69,75
69,76
69,77
70,72
70,73
70,74
70,75
70,76
70,77
70,78
71,73
71,74
71,75
71,76
71,77
71,78
71,79
72,74
72,75
72,76
72,77
72,78
72,79
72,80
73,75
73,76
73,77
73,78
73,79
73,80
73,81
74,76
74,77
74,78
74,79
74,80
74,81
74,82
75,77
75,78
75,79
75,80
75,81
75,82
75,83
76,78
76,79
76,80
76,81
76,82
76,83
76,84
77,79
77,80
77,81
77,82
77,83
77,84
77,85
78,80
78,81
78,82
78,83
78,84
78,85
78,86
79,81
79,82
79,83
79,84
79,85
79,86
79,87
80,82
80,83
80,84
80,85
80,86
80,87
80,88
81,83
81,84
81,85
81,86
81,87
81,88
81,89
82,84
82,85
82,86
82,87
82,88
82,89
82,90
83,85
83,86
83,87
83,88
83,89
83,90
83,91
84,86
84,87
84,88
84,89
84,90
84,91
84,92
85,87
85,88
85,89
85,90
85,91
85,92
85,93
86,88
86,89
86,90
86,91
86,92
86,93
86,94
87,89
87,90
87,91
87,92
87,93
87,94
87,95
88,90
88,91
88,92
88,93
88,94
88,95
88,96
89,91
89,92
89,93
89,94
89,95
89,96
89,97
90,92
90,93
90,94
90,95
90,96
90,97
90,98
91,93
91,94
91,95
91,96
91,97
91,98
91,99
92,94
92,95
92,96
92,97
92,98
92,99
93,95
93,96
93,97
93,98
93,99
94,96
94,97
94,98
94,99
95,97
95,98
95,99
96,98
96,99
97,99
