file,network_type,k,p,seed_ris,seed_greedy,seed_exact,spread_ris,spread_greedy,spread_exact,spread_ris_ic,spread_greedy_ic,spread_exact_ic
nodes100_p0.5_v3.csv,ER,4,0.01,"[22, 65, 5, 85]","[19, 90, 87, 22]","[5, 22, 65, 85]",0.08244,0.08125,0.08244,0.080772,0.0822841,0.080772
nodes100_p0.6_v1.csv,ER,4,0.01,"[97, 54, 29, 85]","[60, 84, 1, 97]","[29, 54, 85, 97]",0.09639,0.09521,0.09639,0.09516809999999999,0.0962317,0.09516809999999999
nodes100_p0.9_v9.csv,ER,4,0.01,"[7, 18, 84, 39]","[18, 7, 15, 66]","[7, 15, 44, 85]",0.17505,0.17338,0.17540999999999998,0.172348,0.1735998,0.1730437
nodes100_p0.3_v4.csv,ER,4,0.01,"[52, 21, 42, 4]","[52, 21, 63, 61]","[4, 21, 42, 52]",0.06199,0.06165,0.06199,0.0606567,0.0612592,0.0606567
nodes100_p0.6_v6.csv,ER,4,0.01,"[72, 24, 34, 3]","[72, 12, 34, 85]","[3, 24, 34, 72]",0.09889,0.09844,0.09889,0.09705399999999999,0.0985085,0.09705399999999999
nodes100_p0.5_v4.csv,ER,4,0.01,"[59, 44, 83, 41]","[59, 40, 93, 41]","[41, 44, 59, 83]",0.08561,0.08426,0.08561,0.0827202,0.08351950000000001,0.0827202
nodes100_p0.3_v6.csv,ER,4,0.01,"[52, 71, 1, 4]","[4, 83, 48, 19]","[1, 4, 52, 83]",0.06167,0.06053,0.06171,0.0596094,0.0610238,0.0604736
nodes100_p0.2_v6.csv,ER,4,0.01,"[72, 43, 5, 79]","[72, 56, 57, 79]","[5, 43, 72, 79]",0.054679999999999986,0.05383,0.054679999999999986,0.05373579999999999,0.054154299999999995,0.05373579999999999
nodes100_p0.1_v10.csv,ER,4,0.01,"[25, 21, 71, 53]","[72, 25, 42, 71]","[21, 25, 53, 71]",0.04958,0.04805,0.04958,0.0465611,0.0474886,0.0465611
nodes100_p0.6_v5.csv,ER,4,0.01,"[85, 96, 0, 72]","[85, 50, 94, 19]","[0, 72, 85, 96]",0.09855,0.09715,0.09855,0.0968937,0.09768610000000001,0.0968937
nodes100_p0.1_v1.csv,ER,4,0.01,"[37, 4, 36, 40]","[37, 26, 20, 33]","[4, 36, 37, 40]",0.04829,0.04765,0.04829,0.046013700000000005,0.0467872,0.046013700000000005
nodes100_p0.9_v7.csv,ER,4,0.01,"[84, 35, 29, 12]","[59, 21, 99, 16]","[12, 35, 84, 93]",0.18021,0.17701,0.18024,0.1767626,0.17834350000000002,0.17667069999999999
nodes100_p0.2_v3.csv,ER,4,0.01,"[54, 90, 95, 30]","[56, 58, 97, 8]","[30, 54, 90, 95]",0.05369,0.05186,0.05369,0.0524576,0.0533792,0.0524576
nodes100_p0.6_v2.csv,ER,4,0.01,"[99, 13, 64, 21]","[27, 13, 21, 41]","[21, 41, 98, 99]",0.09815,0.09746,0.09826,0.0966551,0.0980514,0.097151
nodes100_p0.4_v6.csv,ER,4,0.01,"[14, 62, 28, 38]","[14, 62, 42, 38]","[14, 38, 40, 62]",0.07194,0.07161000000000001,0.07195,0.0702166,0.0707539,0.07067
nodes100_p0.5_v2.csv,ER,4,0.01,"[0, 8, 56, 44]","[8, 13, 77, 65]","[0, 8, 44, 56]",0.08205,0.08098,0.08205,0.0799436,0.080742,0.0799436
nodes100_p0.2_v4.csv,ER,4,0.01,"[12, 78, 51, 88]","[67, 22, 84, 12]","[12, 51, 78, 88]",0.05417,0.05265,0.05417,0.051476600000000004,0.0527224,0.051476600000000004
nodes100_p0.8_v3.csv,ER,4,0.01,"[97, 9, 68, 90]","[97, 20, 92, 9]","[9, 68, 90, 97]",0.14601,0.14517,0.14601,0.1437892,0.1443715,0.1437892
nodes100_p0.7_v1.csv,ER,4,0.01,"[0, 2, 6, 85]","[2, 85, 6, 45]","[0, 2, 6, 85]",0.11902,0.11679,0.11902,0.1176165,0.1166163,0.1176165
nodes100_p0.8_v10.csv,ER,4,0.01,"[95, 69, 53, 36]","[95, 86, 53, 41]","[36, 53, 69, 95]",0.14398,0.14307999999999998,0.14398,0.1407659,0.14271,0.1407659
nodes100_p0.5_v5.csv,ER,4,0.01,"[9, 36, 7, 0]","[9, 20, 64, 7]","[9, 19, 36, 58]",0.08411,0.08265,0.0843,0.08158340000000001,0.0827478,0.08251480000000001
nodes100_p0.4_v10.csv,ER,4,0.01,"[20, 22, 60, 3]","[20, 34, 13, 95]","[3, 20, 22, 60]",0.06984,0.06886,0.06984,0.0676219,0.0686939,0.0676219
nodes100_p0.4_v3.csv,ER,4,0.01,"[83, 4, 14, 42]","[14, 83, 30, 42]","[4, 14, 42, 51]",0.07074,0.06992999999999999,0.07094,0.0697473,0.07034069999999999,0.0695896
nodes100_p0.2_v1.csv,ER,4,0.01,"[29, 7, 28, 23]","[96, 29, 58, 73]","[7, 23, 28, 29]",0.05455,0.053770000000000005,0.05455,0.0527419,0.0533193,0.0527419
nodes100_p0.8_v1.csv,ER,4,0.01,"[48, 83, 31, 71]","[48, 31, 83, 71]","[24, 48, 71, 83]",0.14423,0.14423,0.14448,0.1427753,0.1427753,0.141827
nodes100_p0.1_v8.csv,ER,4,0.01,"[29, 73, 81, 77]","[29, 77, 85, 73]","[29, 73, 77, 81]",0.04879,0.04816,0.04879,0.0474747,0.047831,0.0474747
nodes100_p0.3_v1.csv,ER,4,0.01,"[38, 96, 39, 99]","[38, 24, 14, 39]","[38, 39, 96, 99]",0.06204,0.06156,0.06204,0.061226,0.062244400000000005,0.061226
nodes100_p0.5_v8.csv,ER,4,0.01,"[17, 73, 81, 86]","[81, 73, 90, 17]","[17, 73, 81, 86]",0.08359,0.08306000000000001,0.08359,0.0819322,0.08226689999999999,0.0819322
nodes100_p0.1_v2.csv,ER,4,0.01,"[12, 90, 38, 50]","[90, 4, 78, 12]","[4, 12, 78, 90]",0.04915,0.04916,0.04916,0.046708,0.0480729,0.0480811
nodes100_p0.3_v9.csv,ER,4,0.01,"[7, 72, 43, 81]","[72, 49, 7, 81]","[7, 43, 72, 81]",0.06251,0.06217,0.06251,0.060267299999999996,0.060748699999999996,0.060267299999999996
nodes100_p0.7_v10.csv,ER,4,0.01,"[39, 95, 69, 15]","[39, 95, 15, 69]","[15, 39, 69, 95]",0.11703,0.11703,0.11703,0.116244,0.116244,0.116244
